"10x fund","10X Fund"
"laureate psychiatric clinic and hospital","Laureate Psychiatric Clinic and Hospital"
"laurel regional hospital","Laurel Regional Hospital"
"laurel wood care center","Laurel Wood Care Center"
"laurens county hospital","Laurens County Hospital"
"lavipharm","Lavipharm Laboratories"
"lavipharm laboratories","Lavipharm Laboratories"
"lavipharm labs","Lavipharm Laboratories"
"lawnwood regional medical center","Lawnwood Regional Medical Center"
"lawrence and memorial hospital","Lawrence and Memorial Hospital"
"lawrence berkeley national laboratory","Lawrence Berkeley National Laboratory"
"lawrence county hospital","Lawrence County Hospital"
"lawrence general hospital","Lawrence General Hospital"
"lawrence hospital center","Lawrence Hospital Center"
"lawrence livermore national laboratory","Lawrence Livermore National Laboratory"
"lawrence medical center","Lawrence Medical Center"
"lawrence memorial hospital","Lawrence Memorial Hospital"
"lawrence technological university","Lawrence Technological University"
"lawrence university","Lawrence University"
"lay line genomics s p a","Lay Line Genomics S.P.A."
"lay line genomics s.p.a.","Lay Line Genomics S.P.A."
"lay line genomics spa","Lay Line Genomics S.P.A."
"layton bioscience","Layton Bioscience"
"lds hospital","LDS Hospital"
"le bonheur children s medical center","Le Bonheur Children's Medical Center"
"le bonheur children's medical center","Le Bonheur Children's Medical Center"
"le bonheur childrens medical center","Le Bonheur Children's Medical Center"
"le moyne college","Le Moyne College"
"lea regional medical center","Lea Regional Medical Center"
"lead chemical","Lead Chemical"
"lead deadwood regional hospital","Lead-Deadwood Regional Hospital"
"lead discovery center","Lead Discovery Center"
"lead therapeutics","Lead Therapeutics"
"lead-deadwood regional hospital","Lead-Deadwood Regional Hospital"
"leaddeadwood regional hospital","Lead-Deadwood Regional Hospital"
"leaderpharma","Leaderpharma"
"leake memorial hospital","Leake Memorial Hospital"
"lebanon outpatient surgical","Lebanon Outpatient Surgical"
"lebanon valley college","Lebanon Valley College"
"lectus therapeutics","Lectus Therapeutics"
"lee convenient care","Lee Convenient Care"
"lee hospital","Lee Hospital"
"lee memorial hospital","Lee Memorial Hospital"
"lee oncology","Lee Oncology"
"lee regional medical center","Lee Regional Medical Center"
"lee s pharmaceuticals","Lee'S Pharmaceuticals"
"lee university","Lee University"
"lee's pharmaceuticals","Lee'S Pharmaceuticals"
"lees mcrae college","Lees-McRae College"
"lees pharmaceuticals","Lee'S Pharmaceuticals"
"lees summit hospital","Lees Summit Hospital"
"lees-mcrae college","Lees-McRae College"
"leesburg regional medical center","Leesburg Regional Medical Center"
"leesmcrae college","Lees-McRae College"
"legacy biotechnologies","Legacy Biotechnologies"
"legacy durable medical equipment","Legacy Durable Medical Equipment"
"legacy emanuel medical center","Legacy Emanuel Medical Center"
"legacy goodmaritan medical center","Legacy Goodmaritan Medical Center"
"legacy meridian park hospital","Legacy Meridian Park Hospital"
"legacy mount hood medical center","Legacy Mount Hood Medical Center"
"legacy pharmaceutical packaging","Legacy Pharmaceutical Packaging"
"legacy pharmaceuticals packaging","Legacy Pharmaceuticals Packaging"
"lehigh university","Lehigh University"
"lehigh valley hospital","Lehigh Valley Hospital"
"lehigh valley hospital muhlenberg","Lehigh Valley Hospital Muhlenberg"
"lehigh valley technologies","Lehigh Valley Technologies"
"lehman college","Lehman College"
"leiden university medical center","Leiden University Medical Center"
"leiner health products","Leiner Health Products"
"leitner pharmaceuticals","Leitner Pharmaceuticals"
"lek pharm","LEK Pharm"
"lek pharma","LEK Pharm"
"lek pharmaceutical and chemical dd","LEK Pharm"
"lek pharmaceuticals d d","LEK Pharm"
"lek pharmaceuticals dd","LEK Pharm"
"lek pharms","LEK Pharm"
"lek pharms dd","LEK Pharm"
"lemoyne owen college","LeMoyne-Owen College"
"lemoyne-owen college","LeMoyne-Owen College"
"lemoyneowen college","LeMoyne-Owen College"
"lemuel shattuck hospital","Lemuel Shattuck Hospital"
"lenetix medical screening laboratory","Lenetix Medical Screening Laboratory"
"lenoir memorial hospital","Lenoir Memorial Hospital"
"lenoir rhyne university","Lenoir-Rhyne University"
"lenoir-rhyne university","Lenoir-Rhyne University"
"lenoirrhyne university","Lenoir-Rhyne University"
"lenox hill hospital","Lenox Hill Hospital"
"lentigen","Lentigen"
"leo pharm","LEO Pharm"
"leo pharm prods","LEO Pharm"
"leo pharma","LEO Pharm"
"leo pharmaceutical products","LEO Pharm"
"leonard j chabert medical center","Leonard J. Chabert Medical Center"
"leonard j. chabert medical center","Leonard J. Chabert Medical Center"
"lerna pharm loris","Lerna Pharm Loris"
"lerner research institute","Lerner Research Institute"
"les entreprises solumed","LES Entreprises Solumed"
"les laboratoires medis","Les Laboratoires Medis"
"les laboratoires servier","Les Laboratoires Servier"
"lesley university","Lesley University"
"letco medical","Letco Medical"
"letourneau university","LeTourneau University"
"leukemia and lymphoma society","Leukemia and Lymphoma Society"
"leukomed","Leukomed"
"leukosite","leukosite"
"lev pharmaceuticals","lev pharmaceuticals"
"level oral care","Level Oral Care"
"levi hospital","Levi Hospital"
"levindale hebrew geriatric center and hospital","Levindale Hebrew Geriatric Center and Hospital"
"lewis and clark college","Lewis and Clark College"
"lewis and clark specialty hospital","Lewis and Clark Specialty Hospital"
"lewis clark state college","Lewis-Clark State College"
"lewis county general hospital","Lewis County General Hospital"
"lewis gale medical center","Lewis-Gale Medical Center"
"lewis university","Lewis University"
"lewis-clark state college","Lewis-Clark State College"
"lewis-gale medical center","Lewis-Gale Medical Center"
"lewisclark state college","Lewis-Clark State College"
"lewisgale medical center","Lewis-Gale Medical Center"
"lewistown hospital","Lewistown Hospital"
"lex pharmaceuticals","LEX Pharmaceuticals"
"lexicon genetics","Lexicon Genetics"
"lexicon genetics inc/tx","lexicon genetics inc/tx"
"lexicon pharmaceuticals","Lexicon Pharmaceuticals"
"lexington college","Lexington College"
"lexington medical center","Lexington Medical Center"
"lexington memorial hospital","Lexington Memorial Hospital"
"lexington veterans affairs medical center","Lexington Veterans Affairs Medical Center"
"lfb biotechnologies","Lfb Biotechnologies"
"lg household and healthcare","LG Household and Healthcare"
"libertas pharma","Libertas Pharma"
"liberty county hospital and nursing home","Liberty County Hospital and Nursing Home"
"liberty hospital","Liberty Hospital"
"liberty pharmaceuticals","Liberty Pharmaceuticals"
"liberty university","Liberty University"
"libertyhealth - greenville hospital","LibertyHealth - Greenville Hospital"
"libertyhealth - jersey city medical center","LibertyHealth - Jersey City Medical Center"
"libertyhealth - meadowlands hospital medical center","LibertyHealth - Meadowlands Hospital Medical Center"
"libertyhealth greenville hospital","LibertyHealth - Greenville Hospital"
"libertyhealth jersey city medical center","LibertyHealth - Jersey City Medical Center"
"libertyhealth meadowlands hospital medical center","LibertyHealth - Meadowlands Hospital Medical Center"
"licking memorial hospital","Licking Memorial Hospital"
"lidak pharmaceuticals","lidak pharmaceuticals"
"liddell laboratories","Liddell Laboratories"
"life extension foundation","Life Extension Foundation"
"life laboratories","LIFE Laboratories"
"life nutrition products","life nutrition products"
"life pacific college","Life Pacific College"
"life quality home healthcare","Life Quality Home Healthcare"
"life science pharmaceuticals","Life Science Pharmaceuticals"
"life science research partners","Life Science Research Partners"
"life science ventures","Life Science Ventures"
"life sciences greenhouse of central pennsylvania","Life Sciences Greenhouse of Central Pennsylvania"
"life technologies","Life Technologies"
"life technologies corp","Life Technologies"
"life university","Life University"
"lifecare hospitals of north carolina","LifeCare Hospitals of North Carolina"
"lifecare hospitals of pittsburgh","LifeCare Hospitals of Pittsburgh"
"lifecare hospitals of western michigan","LifeCare Hospitals of Western Michigan"
"lifecycle pharma","Lifecycle Pharma"
"lifehealthcare","lifehealthcare"
"lifeline therapeutics","lifeline therapeutics"
"lifetime pharmaceuticals","LifeTime Pharmaceuticals"
"ligand pharmaceuticals","Ligand Pharmaceuticals"
"light sciences oncology","Light Sciences Oncology"
"light street medical center","Light Street Medical Center"
"lightlake therapeutics","Lightlake Therapeutics"
"ligocyte pharmaceuticals","Ligocyte Pharmaceuticals"
"ligon discovery","Ligon Discovery"
"lijun international pharmaceutical","Lijun International Pharmaceutical"
"lil drug store products","Lil' Drug Store Products"
"lil' drug store products","Lil' Drug Store Products"
"lilly","Eli Lilly"
"lilly res labs","Eli Lilly"
"lilly research laboratories","Eli Lilly"
"lim college","LIM College"
"lima memorial health system","Lima Memorial Health System"
"limerick biopharma","Limerick Biopharma"
"limestone college","Limestone College"
"limited tai guk pharmaceutical company","Limited Tai Guk Pharmaceutical Company"
"lincoln christian university","Lincoln Christian University"
"lincoln college","Lincoln College"
"lincoln community hospital and nursing home","Lincoln Community Hospital and Nursing Home"
"lincoln county medical center","Lincoln County Medical Center"
"lincoln diagnostics","Lincoln Diagnostics"
"lincoln hospital","Lincoln Hospital"
"lincoln memorial hospital","Lincoln Memorial Hospital"
"lincoln memorial university","Lincoln Memorial University"
"lincoln memorial university debusk college of osteopathic medicine","Lincoln Memorial University DeBusk College of Osteopathic Medicine"
"lincoln park capital fund","Lincoln Park Capital Fund"
"lincoln park hospital","Lincoln Park Hospital"
"lincoln university","Lincoln University"
"linda community hospital","Linda Community Hospital"
"lindemann mental health center","Lindemann Mental Health Center"
"linden oaks hospital/edward campus","Linden Oaks Hospital/Edward Campus"
"lindenwood university","Lindenwood University"
"lindopharm","Lindopharm"
"lindsay municipal hospital","Lindsay Municipal Hospital"
"lindsey wilson college","Lindsey Wilson College"
"lindy boggs medical center","Lindy Boggs Medical Center"
"lineagen","LineaGen"
"linfield college","Linfield College"
"link medical","Link Medical"
"link medicine","Link Medicine"
"link pharmaceuticals","Link Pharmaceuticals"
"linkagene","Linkagene"
"linton hospital","Linton Hospital"
"lion bioscience","Lion Bioscience"
"lipella","Lipella"
"lipha pharmaceuticals","Lipha Pharmaceuticals"
"lipicard technologies","Lipicard Technologies"
"lipid sciences","Lipid Sciences"
"lipid therapeutics","Lipid Therapeutics"
"lipidviro tech","lipidviro tech"
"lipimetix","Lipimetix"
"liplasome pharma","Liplasome Pharma"
"lipocine","Lipocine"
"liponex","Liponex"
"liponova","Liponova"
"lipopharma","Lipopharma"
"liposonix","LipoSonix"
"lipoterx","LipoteRx"
"lipoxen","Lipoxen"
"lipscomb university","Lipscomb University"
"liptis pharmaceuticals","Liptis Pharmaceuticals"
"liquidia technologies","Liquidia Technologies"
"little company of mary hospital","Little Company of Mary Hospital"
"little falls hospital","Little Falls Hospital"
"littleton adventist hospital","Littleton Adventist Hospital"
"littleton regional hospital","Littleton Regional Hospital"
"living well pharmacy","Living Well Pharmacy"
"livingston memorial hospital","Livingston Memorial Hospital"
"livingston regional hospital","Livingston Regional Hospital"
"livingstone college","Livingstone College"
"lixte biotechnology holdings","Lixte Biotechnology Holdings"
"llorens pharmaceutical international division","Llorens Pharmaceutical International Division"
"lock haven hospital","Lock Haven Hospital"
"lock haven hospital diagnostic","Lock Haven Hospital Diagnostic"
"lock haven university of pennsylvania","Lock Haven University of Pennsylvania"
"lockport memorial hospital","Lockport Memorial Hospital"
"locus pharmaceuticals","Locus Pharmaceuticals"
"lodi community hospital","Lodi Community Hospital"
"lodi memorial hospital","Lodi Memorial Hospital"
"logan medical center","Logan Medical Center"
"logan memorial hospital","Logan Memorial Hospital"
"logan regional hospital","Logan Regional Hospital"
